SampleID,vOTU_2,vOTU_13,vOTU_25,vOTU_28,vOTU_29,vOTU_32,vOTU_46,vOTU_60,vOTU_64,vOTU_65,vOTU_68,vOTU_72,vOTU_73,vOTU_84,vOTU_91,vOTU_96,vOTU_98,vOTU_115,vOTU_116,vOTU_121,vOTU_130,vOTU_138,vOTU_148,vOTU_181,vOTU_196,vOTU_198,vOTU_212,vOTU_280,vOTU_286,vOTU_292,vOTU_299,vOTU_304,vOTU_312,vOTU_343,vOTU_373,vOTU_380,vOTU_410,vOTU_442,vOTU_448,vOTU_471,vOTU_472,vOTU_481,vOTU_484,vOTU_486,vOTU_495,vOTU_497,vOTU_508,vOTU_521,vOTU_542,vOTU_551,vOTU_570,vOTU_575,vOTU_585,vOTU_619,vOTU_621,vOTU_636,vOTU_660,vOTU_667,vOTU_697,vOTU_790,vOTU_814,vOTU_817,vOTU_863,vOTU_865,vOTU_892,vOTU_1022,vOTU_1104,vOTU_1110,vOTU_1122,vOTU_1205,vOTU_1211,vOTU_1224,vOTU_1263,vOTU_1270,vOTU_1391,vOTU_1455,vOTU_1521,vOTU_1627,vOTU_1656,vOTU_1696,vOTU_1717,vOTU_1732,vOTU_1837,vOTU_1860,vOTU_1867,vOTU_1868,vOTU_1877,vOTU_1941,vOTU_1945,vOTU_1955,vOTU_2182,vOTU_2186,vOTU_2270,vOTU_2274,vOTU_2496,vOTU_2595,vOTU_2619,vOTU_2681,vOTU_2711,vOTU_2714,vOTU_2722,vOTU_2736,vOTU_2780,vOTU_2785,vOTU_2865,vOTU_2869,vOTU_2918,vOTU_2937,vOTU_2941,vOTU_2945,vOTU_2979,vOTU_2980,vOTU_2986,vOTU_2987,vOTU_2998,vOTU_3016,vOTU_3026,vOTU_3039,vOTU_3040,vOTU_3042,vOTU_3056,vOTU_3057,vOTU_3063,vOTU_3064,vOTU_3201,vOTU_3263,vOTU_3310,vOTU_3320,vOTU_3340,vOTU_3341,vOTU_3348,vOTU_3414,vOTU_3424,vOTU_3472,vOTU_3492,vOTU_3503,vOTU_3515,vOTU_3546,vOTU_3547,vOTU_3558,vOTU_3565,vOTU_3581,vOTU_3598,vOTU_3600,vOTU_3619,vOTU_3623,vOTU_3671,vOTU_3675,vOTU_3710,vOTU_3714,vOTU_3727,vOTU_3755,vOTU_3780,vOTU_3798,vOTU_3810,vOTU_3815,vOTU_3875,vOTU_3920,vOTU_3977,vOTU_3983,vOTU_4029,vOTU_4060,vOTU_4064,vOTU_4121,vOTU_4136,vOTU_4187,vOTU_4263,vOTU_4348,vOTU_4367,vOTU_4435,vOTU_4548,vOTU_4633,vOTU_4737,vOTU_4845,vOTU_4852,vOTU_4927,vOTU_4987,vOTU_5074,vOTU_5132,vOTU_5144,vOTU_5175,vOTU_5284,vOTU_5356,vOTU_5408,vOTU_5421,vOTU_5507,vOTU_5528,vOTU_5571,vOTU_5620,vOTU_5706,vOTU_5778,vOTU_5971,vOTU_6049,vOTU_6070,vOTU_6120,vOTU_6122,vOTU_6127,vOTU_6131,vOTU_6165,vOTU_6223,vOTU_6313,vOTU_6390,vOTU_6411,vOTU_6496,vOTU_6540,vOTU_6592,vOTU_6762,vOTU_6788,vOTU_6955,vOTU_7018,vOTU_7050,vOTU_7104,vOTU_7169,vOTU_7212,vOTU_7244,vOTU_7257,vOTU_7288,vOTU_7358,vOTU_7450,vOTU_7519,vOTU_7547,vOTU_7587,vOTU_7769,vOTU_8002,vOTU_8070,vOTU_8152,vOTU_8158,vOTU_8181,vOTU_8204,vOTU_8216,vOTU_8277,vOTU_8335,vOTU_8362,vOTU_8383,vOTU_8414,vOTU_8450,vOTU_8820,vOTU_8979,vOTU_8996,vOTU_9040,vOTU_9143,vOTU_9145,vOTU_9185,vOTU_9269,vOTU_9390,vOTU_9427,vOTU_9480,vOTU_9551,vOTU_9642,vOTU_9647,vOTU_9857,vOTU_9973,vOTU_10044,vOTU_10115,vOTU_10143,vOTU_10294,vOTU_10497,vOTU_10574,vOTU_10582,vOTU_10698,vOTU_10703,vOTU_10895,vOTU_10991,vOTU_10995,vOTU_11291,vOTU_11306,vOTU_11388,vOTU_11471,vOTU_11500,vOTU_11562,vOTU_11641,vOTU_11690,vOTU_11720,vOTU_11841,vOTU_11855,vOTU_12087,vOTU_12247,vOTU_12353,vOTU_12378,vOTU_12379,vOTU_12412,vOTU_12444,vOTU_12463,vOTU_12483,vOTU_12496,vOTU_12665,vOTU_12739,vOTU_12773,vOTU_12816,vOTU_12998,vOTU_13020,vOTU_13025,vOTU_13034,vOTU_13035,vOTU_13036,vOTU_13062,vOTU_13123,vOTU_13142,vOTU_13211,vOTU_13250,vOTU_13541,vOTU_13612,vOTU_13613,vOTU_13784,vOTU_13785,vOTU_13801,vOTU_13803,vOTU_13906,vOTU_14085,vOTU_14112,vOTU_14133,vOTU_14142,vOTU_14238,vOTU_14247,vOTU_14268,vOTU_14274,vOTU_14354,vOTU_14370,vOTU_14371,vOTU_14376,vOTU_14377,vOTU_14379,vOTU_14410
H11_MDA,2.246319247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71856223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.95873607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.07638245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14_MDA,3.815806762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.63497979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155179958,0,0,0,0,0,0.785942679,0.628754143,0,0,0.157469669,0,0,0.079017481,0,0,0.158319134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085006255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609050438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232616192,0,0,0,0,0,1.419607314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.23825019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18_MDA,0.002912423,0,0,0,0,0,0,0.030312574,0,0,0.006690895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039001637,0.140127248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272556885,1.866743155,0.609264459,0,0,0,0,0,0,0.204045256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965627059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598667102,0,0.302654866,0,0,0,0,0,0,0,0,0.371762829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900818026,0,0,0,0,0,2.32116729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770856855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.18701575,0,1.584707034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825068658,0,0,0,0,0
H10_MDA,0.046665441,0,0,0,0,0,0,0.008267151,0.013365426,0,0,0,0,0.276677206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352558707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066480752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08017239,0,0,0,0,0,0,0,0.090303425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13767111,0.442710473,0.138347023,0,0,0,0,0,0.89018875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.959401735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.484276957,0,0,3.129428634,0,0,0,0,0,0,3.151001589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332741437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757646381,0,0,15.8300237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.937783571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.46406035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.410227793,0,0,0,0,0,0,0,0
S15_MDA,0.49723792,0,0,0,0,0,0,0.013060607,0,0,0.007207169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.079052894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044507259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063328952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.753897835,1.442517914,0,0,0,0,0,0,0,0,0.132081219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330952241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727125591,0,0,0,0.514862158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970325863,0,0,0,0,0,2.30288064,0.330648966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774493502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.01581927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S06_MDA,0,0,0,0,0,0,0,0.021417072,0,0,0.007878984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045927083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190215435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479168383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.726315295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.75111217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777965582
H01_MDA,0,0,0,0,0,0,0,0.013637056,0.058791737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175461023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.946444859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.037542577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.76812275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S05_MDA,0,0,0,0,0,0,0,2.060885117,0,0,0.039103081,0,0,0,0,0,0.062890745,0.05213872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935925616,0,0,0,0,0,1.427938914,0.478390068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.94272774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S07_MDA,0,0,0,0,0,0,0,0.004616516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40208652,0,0,0,0,0,0.186452978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.40684399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H17_MDA,0,0,0,0,0,0,0,0.013408401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021135372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028753172,0.029515998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120315605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.197305361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.58956609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H15_MDA,0,0,0,0,0,0,0,0.020353003,0,0,0,0,0,0,0,0,0.005419097,0.023960686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163487166,0.163487166,0,0.163669792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383120841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234481112,0,0,0,0,0,0,0.278920994,0,0,0,0.285274918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.167721125,0.37099223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.73911187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S09_MDA,0,0,0,0,0.004887455,0.002626854,0,0,0,0,0.004489758,0,0,0,0.015249018,0,0.059573434,0.011972981,0,0,0,0,0,0,0,0,0,0.047464851,0,0,0,0,0,0,0,0,0,0.035710459,0,0,0,0,0,0,0,0.088449671,0,0,0,0,0.055452233,0,0,0,0,0,0,0,0,0.313132111,0,0,0,0,0,0,0,0,0,0,0.216456867,0.650945214,0,0,0,0,0,0,0,0.422146786,0,0,0,0,0,0,0,0,0,0,0.172313592,0,0,0,0,0.182629565,0,0,0,0,0.184802786,4.336232468,0,0,0,0,0,0,0,0,0,0,0,0.218092295,0.218238568,0,0,0,0,0,0,0,0,0,0,0,0,4.555208186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788808707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584306333,0,0,1.90817296,0,0,0,0,0,0,0,0,0,0.709846651,0,0,0,0,0,0,1.133563625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.320065093,0.947508678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.27953225,0,0,0,0,0,0.809168695,0,0,0,0,0,0,0,0,0,0,0,0,0,7.722951853,0,0,0,0,0,0,0,0
H16_MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035459433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270617933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359475668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.62622363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708223338,0,0
