,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,Positive_control_MDA,Negative_control1,Negative_control2,Negative_control3,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
vOTU_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,94,174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,3,2706,634,3,3,4,3,2
vOTU_25,0,0,0,0,0,0,2,0,209,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,482,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_28,0,0,0,0,0,0,2,0,199,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,482,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_29,0,0,0,0,0,0,21,0,205,0,10,0,2,1,43,3,0,1,1121,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,18,1,325,0,6,1,2,0,19,3,1,1,769,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1
vOTU_32,0,0,0,0,0,0,23,0,208,1,11,0,2,2,42,3,1,1,1184,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,16,1,331,0,7,0,2,0,20,3,1,2,810,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0
vOTU_46,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_60,0,0,0,2,6,6,1,0,21,0,1,0,22,1,0,1,0,0,75,20,1,1,1,0,0,0,2,111,3,2,0,5,194,2,5,0,3,1,4,15,0,0,0,0,11,0,5,1,35,0,1,0,8,0,0,1,1,0,118,8,0,0,0,0,2,0,1,0,349,3,1,1,0,20,3,10,0,0,2,5,0,5,1,0
vOTU_64,0,0,2,3,1,1,3,1,1,1,1,1467,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2205,1,0,1,1,0,1,0,1,0,21,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
vOTU_65,1,0,1,1,0,0,1,1,8,1,389,10,0,0,1,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,35,0,33,59,1,0,1,0,0,1,160,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_68,0,0,1,0,3,5,1,0,1247,2,1,0,12,0,0,0,0,0,31,5,0,0,0,3,0,0,2,6,0,0,0,2,27,0,0,0,0,1,4,10,0,1,1,2,3,1,2,3,1906,1,2,0,1,0,0,1,0,0,49,3,0,0,0,0,0,0,0,0,6,1,0,0,1,5,0,0,0,0,1,0,0,1,1,2
vOTU_72,0,0,0,0,0,0,4,0,0,0,5,0,7,0,0,1,0,0,178,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_73,0,0,0,1,0,0,1,0,0,0,337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vOTU_84,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,24,28,32,37,97,41,37,11,52,19107,651,0,0,0,3,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
vOTU_91,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,1,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
vOTU_96,0,0,0,1,0,0,1,0,1,0,131,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_98,0,0,0,0,3,6,0,0,5,1,18,0,15,3,7,6,1,3,2131,16,0,0,0,0,0,0,2,5,0,0,0,2,22,2,1,0,0,0,1,7,6,0,0,0,2,0,3,8,12,0,13,3,8,3,9,9,4,6,2942,11,1,9,0,22,0,3,0,0,8,0,0,7,11,7,1,0,1,0,0,0,0,0,4,8
vOTU_115,0,0,0,0,2,464,0,1,41,1,2,0,10,0,0,2,0,0,107,8,0,0,0,0,0,0,0,2,0,0,0,0,11,0,4,0,0,0,1,15,0,0,0,0,4,6,1,2,55,0,1,0,4,0,2,11,1,0,172,4,0,0,0,0,0,0,0,0,6,0,0,0,2,20,2,0,0,0,0,0,0,0,0,1
vOTU_116,0,0,0,0,0,0,2,0,235,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,3,1,519,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_121,0,0,0,0,0,0,1,0,2,1,188,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,8,0,17,47,0,0,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
vOTU_130,4,0,0,1,0,1,4,2,8,1,677,9,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,20,1,34,6,0,0,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_138,0,0,0,0,0,0,1,0,263,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,557,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_148,0,0,0,0,0,0,0,0,1,1,262,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,9,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_181,4,0,0,4,1,1,8,1,14,1,503,10,0,0,0,3,3,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,24,0,33,8,0,0,0,2,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
vOTU_196,0,0,0,0,0,0,0,0,1,0,202,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12,2,0,0,0,0,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_198,0,0,0,0,0,0,1,0,5,0,324,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_212,0,0,0,0,0,0,95,0,0,0,2,0,0,0,1,0,0,1,288,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54,0,2,0,1,0,0,0,3,0,0,1,263,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vOTU_280,0,0,0,0,0,0,38,0,284,1,19,0,4,2,96,5,1,2,2087,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0,0,0,0,33,1,448,0,8,1,3,1,30,2,3,3,1502,0,0,0,0,8,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,2,1
vOTU_286,0,0,0,0,0,0,67,0,0,1,2,0,1,0,0,1,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,30,0,4,0,0,0,1,0,1,0,0,1,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vOTU_292,1,0,0,0,0,0,0,1,2,0,336,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_299,1,0,1,1,0,0,0,1,3,0,294,6,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,3,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1108,249,0,0,0,1,0
vOTU_343,4,0,1,0,0,0,1,1,4,0,351,3,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,15,0,12,3,0,0,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_373,0,0,0,1,0,0,0,1,1,0,193,3,0,0,0,1,1,0,37,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,7,0,18,37,0,0,0,4,0,1,81,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vOTU_380,0,0,1,0,0,0,1,2,1,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_384,0,0,0,0,0,0,1,0,2,0,12,1,1,0,1,31,1,0,2,10,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,27,1,18,0,19,1,1,0,0,14,0,0,11,0,0,384,2114,1843,0,2166,3,0,0,0,3,0,0,0,6,0,0,0,0,1,1,0,0,0
vOTU_410,0,0,0,0,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_442,0,0,0,1,0,0,2,0,3,0,185,4,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,19,31,0,0,0,8,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
vOTU_448,1,0,0,0,5,0,0,0,0,0,0,2,2498,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,0,23,0,1,0,2,10,104,0,0,0,0,0,17,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_471,0,0,0,2,0,0,0,0,0,0,153,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_472,0,0,0,2,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_481,0,0,0,0,0,0,1,0,3,1,215,5,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,11,47,0,0,0,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_484,0,0,0,0,0,0,79,0,0,0,5,0,0,0,2,0,0,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,2,0,3,0,0,0,2,1,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_486,0,0,0,0,0,0,6,0,27,0,18,1,0,0,4,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,0,1,0,1,0,0,1,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vOTU_495,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,3,0,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_497,0,0,0,2,0,0,3,0,2,2,121,0,8,13,15,24,3,7,9976,6,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,8,9,0,36,0,1,0,0,0,4,4,6,0,45,5,6,6,13,21,12,13,7185,8,2,0,0,30,0,3,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,10,3
vOTU_508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
vOTU_521,9,0,4,11,3,25,99,2,2,6,1,1479,12612,8,6,78,5,13,35,1270,4,5,0,0,0,9,0,0,0,5,0,13,2,0,0,0,2,0,6,0,10,4,2,3,8,1,2730,4,13,6,4,108,3137,3,4,376,2,25,86,420,0,21,0,20,0,0,2,0,0,2,0,0,0,0,10,0,8,0,0,0,0,2,0,2
vOTU_542,0,0,0,2,0,0,54,2,0,1,65,0,272,2,0,44,0,0,1,56,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,4,3,2,3183,5,14,3,211,2,2650,2,2,421,2,3,3,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
vOTU_551,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_570,0,0,0,0,0,0,31,0,296,1,18,0,4,3,55,2,1,2,1452,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,25,1,417,0,5,0,2,0,26,3,2,3,1027,1,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,2
vOTU_575,0,0,0,0,0,0,3,0,0,0,79,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_585,1,0,2,8,0,1,4,3,2,4,1,1802,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2342,1,1,0,6,0,3,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_619,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
vOTU_621,0,0,0,0,0,0,4,0,0,0,2,0,8,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,2,1,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
vOTU_636,0,0,0,0,0,0,2,0,0,1,3,0,2,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_660,106,0,0,0,0,2,7,1,8,1,467,110,0,0,0,4,0,0,10,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,4,0,39,0,55,12,1,0,3,9,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vOTU_667,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,9,0,0,1,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_697,0,0,0,1,0,0,0,1,2,1,140,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,0,17,16,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_790,0,0,0,1,0,0,0,0,2,4,118,0,14,16,10,31,5,13,11749,13,0,0,0,0,0,0,51,17,0,0,0,0,0,0,0,0,0,12,30,0,31,0,0,0,0,0,0,3,4,0,57,4,11,9,11,26,14,15,9533,14,3,0,3,79,0,0,0,0,0,0,0,14,19,0,4,0,0,0,0,0,0,0,22,16
vOTU_814,0,0,0,1,0,0,0,0,0,0,420,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,99,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
vOTU_817,0,0,0,0,0,0,0,0,105,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_863,1,0,1,0,0,1,1,0,1,1,134,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,13,0,9,15,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_865,18,0,0,1,0,0,0,0,40,0,33,108,0,0,18,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,105,0,3,33,0,0,10,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
