,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,Positive_control_MDA,Negative_control1,Negative_control2,Negative_control3,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
vOTU_892,0,0,0,1,0,1,0,1,0,0,256,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1022,0,0,1,0,0,0,1,0,0,0,389,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,41,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1104,0,0,0,0,0,0,46,0,0,0,2,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
vOTU_1110,0,0,0,0,0,0,1,0,115,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,43,0,4,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1122,1,0,0,0,0,0,0,3,0,0,113,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1205,0,0,0,0,0,0,1,0,0,1,64,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1211,0,0,0,0,0,0,7,0,3,1,37,0,5,7,15,2,2,3,5160,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,9,0,19,0,0,0,0,0,7,2,4,0,27,3,3,3,6,12,6,10,3354,6,2,0,0,34,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,9,2
vOTU_1224,19,0,4,1,6,20,12,9,5,7,1,2567,243,12,8,23,5,45,3078,1807,0,0,0,0,0,0,15,6,0,4,0,0,0,0,0,0,0,2,6,0,21,1,0,0,5,0,126,2,15,1,10,92,106,6,11,79,8,89,3598,596,3,160,0,47,0,0,0,0,0,0,0,7,33,0,21,0,0,0,2,0,0,0,11,7
vOTU_1263,0,0,0,0,0,0,1,1,0,0,93,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1270,6,0,0,0,1,0,0,1,1,1,285,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
vOTU_1391,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1455,0,0,0,0,0,0,3,0,22,0,13,1,0,0,3,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,1,0,0,1,3,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
vOTU_1521,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,2,0,0,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1627,0,0,0,0,0,0,0,0,4,0,107,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,11,2,0,0,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1656,0,0,0,0,0,0,1,0,0,0,4,0,2,0,1,0,1,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1696,17,0,3,1,13,19,11,5,6,7,3,2346,53,18,17,57,9,458,4153,1707,0,0,0,0,0,0,9,6,0,4,0,0,0,0,0,0,0,30,20,0,33,2,0,0,30,1,64,5,10,0,4,86,37,11,24,248,17,891,2960,508,3,72,0,106,0,0,0,0,0,0,0,4,19,0,29,0,0,0,0,0,0,0,20,19
vOTU_1717,0,0,0,0,0,0,2,0,7,0,11,1,0,0,2,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,0,0,0,0,0,1,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1732,0,0,0,0,0,0,2,1,2,3,0,236,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1837,0,0,0,0,0,0,2,1,2,0,187,3,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,12,0,17,5,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1860,126,0,0,0,0,1,3,1,33,0,202,86,0,0,0,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,88,0,35,19,0,0,9,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1867,0,0,0,0,0,0,0,0,4,0,65,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,14,1,0,0,0,2,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1868,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1877,0,0,0,0,0,0,0,0,0,0,68,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1941,85,0,1,2,1,2,13,0,51,2,191,266,0,0,2,2,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,31,0,123,1,41,40,3,0,31,58,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1945,0,0,0,0,0,0,0,0,69,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1955,0,0,1,3,0,0,2,1,0,0,359,3,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,1,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
vOTU_2182,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,234,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
vOTU_2270,0,0,1,11,0,1,1,2,2,4,1453,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,243,0,0,0,0,0,0,0,52,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2274,2,0,1,0,0,1,2,0,22,0,144,28,0,0,3,6,0,1,54,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,13,6,0,0,10,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2496,16,0,1,2,0,5,11,0,39,2,486,69,0,0,5,36,0,0,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,67,2,96,0,41,21,3,1,14,176,1,1,29,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2595,10,0,1,0,13,5,27,4,1,14,1,732,3317,14,9,258,5,17,1801,1415,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,6,20,0,18,2,0,3,37,1,855,1,3,7,1,36,847,11,15,1653,9,20,1492,472,1,0,0,62,0,0,0,0,0,0,0,18,7,0,0,0,2,0,0,0,0,0,9,6
vOTU_2619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2681,0,0,0,0,0,0,0,0,87,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,394,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2711,0,0,0,5,0,0,0,0,0,0,248,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2722,0,0,0,0,0,0,13,1,186,1,17,0,3,1,47,7,1,0,1891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,13,2,303,0,10,1,2,0,22,10,2,1,1418,2,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,3,6
vOTU_2736,14,0,0,0,1,13,0,0,16,27,2,28,95,110,78,226,31,62,27343,226,0,0,0,0,0,0,153,53,0,0,0,0,0,0,0,0,0,82,131,0,148,0,0,0,3,0,54,34,19,1,8,32,70,48,42,302,92,119,18310,104,17,0,0,561,0,0,0,0,0,0,0,73,164,0,0,0,0,0,0,0,3,0,144,48
vOTU_2780,0,0,0,0,0,0,1,0,0,0,73,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2785,0,0,0,3,0,0,0,0,1,0,70,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,13,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2865,87,0,0,0,0,3,10,1,44,1,184,232,2,0,5,2,1,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,1,127,1,34,40,1,0,31,48,0,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
vOTU_2869,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2918,0,0,0,2,0,0,0,0,0,0,179,0,0,0,0,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2937,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2941,0,0,2,2,0,0,1,5,2,2,1216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_2945,12,0,5,12,6,35,71,1,2,3,1,1886,12419,11,2,80,4,18,49,1453,0,5,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,0,4,0,8,8,1,5,10,2,2781,1,12,4,5,117,3144,3,6,323,6,29,91,466,2,44,0,18,0,7,7,0,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0,3
vOTU_2979,12046,4,1,2,0,558,9,4,24,2,0,3,28,2,1,2,1,24,122,529,0,0,0,0,0,0,0,4,0,16,0,0,0,0,6,0,0,0,4,0,43,0,1,0,2,4,196,9,498,1,4,6,114,0,2,41,1,31,133,211,2,177,40,0,0,0,0,0,0,0,0,0,0,0,22,0,19,10,63,53,61,56,31,52
vOTU_2980,12066,6,1,2,0,563,7,0,19,3,0,6,31,1,0,7,2,21,114,528,0,0,0,8,0,0,0,4,0,5,0,0,0,0,6,0,0,0,0,0,43,0,1,0,0,7,195,5,545,0,2,2,121,1,3,38,1,22,117,243,1,221,30,0,0,0,0,0,0,0,0,0,0,0,29,0,31,8,33,42,35,46,18,49
vOTU_2986,0,0,1,2,0,0,56,0,2,1,66,0,295,0,0,58,0,1,1,61,0,5,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,3,3,3279,4,15,3,215,1,2739,4,4,484,2,3,2,11,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15,0,0
vOTU_2987,22,0,1,0,217,10,9,0,0,3,0,141,197,3,3,47,7,11,42,3140,0,0,0,0,0,0,0,8,4,0,0,0,0,0,6,0,0,0,0,0,3,4,0,0,611,0,157,0,2,0,1,11,99,1,23,166,0,20,55,1073,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
vOTU_2998,21,1,0,0,233,10,6,0,1,0,0,103,145,1,1,22,6,13,32,3149,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,8,1,1,3,634,1,130,0,1,1,0,8,79,1,31,98,0,30,47,1015,0,0,0,6,0,0,0,5,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0
vOTU_3016,20,0,0,2,0,0,0,0,23,0,45,66,0,0,13,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74,0,5,24,0,0,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3026,7,0,0,0,0,0,5,0,0,0,47,0,13,0,0,18,0,0,1,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,322,1,9,0,120,1,214,1,1,86,0,1,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3039,10,1,21,50,18,52,46,41,13,26,5,10915,1847,0,0,14,1,11,13,697,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,4,0,0,0,30,2,1,1,8,1,602,1,7,0,13,591,524,1,4,236,0,21,72,197,1,400,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0,0,0,0,7
vOTU_3040,1,0,0,0,0,0,15,0,2,0,156,0,103,0,0,36,0,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,1,1141,1,27,0,521,1,877,2,6,313,1,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3042,1,0,0,4,2,0,18,0,1,1,147,0,96,2,0,36,0,0,1,171,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1175,2,25,1,568,1,933,1,4,333,2,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0
vOTU_3056,25,0,0,4,51,8,6,0,0,1,0,112,98,7,8,63,9,14,68,4944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,2,0,1,141,0,162,0,7,1,2,4,96,1,310,300,0,40,80,1551,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,16
vOTU_3057,1,0,0,0,0,0,19,1,0,4,68,0,121,2,1,158,0,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,1,0,1590,2,12,1,223,3,1172,1,4,946,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3063,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,1,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3064,0,0,0,0,0,1,26,0,242,1,12,0,8,1,44,2,1,1,1541,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,4,0,5,0,0,0,0,0,13,3,333,0,6,0,2,1,15,4,0,2,967,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
vOTU_3201,0,0,0,0,0,0,40,0,0,1,1,0,0,0,1,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3310,0,0,0,0,0,0,13,0,0,0,6,0,48,0,2,0,0,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,4,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_3320,26,0,0,0,0,20,1,0,18,17,2,4,103,119,71,239,38,66,28552,207,0,0,0,0,0,0,186,53,0,0,0,0,0,0,0,0,0,85,90,0,199,0,0,0,2,0,48,38,18,1,4,29,71,61,46,309,79,129,19172,88,16,0,0,530,0,0,0,0,0,0,0,152,160,0,0,0,0,0,0,0,0,0,177,51
